番号,品目,図番,品名,列1,列2,列3
,TUA60,,,,,
1,45TUA6000002500E28,【R】TUA60-E28-00002-500,ﾎﾙﾀﾞｰ固定軸(TUA60-E28)EG-ZN-C,,,
2,45TUA60042035A0,【R】TUA60-04203-5A0,ｼｬﾌﾄA(TUA60),,,
3,45TUA60043034A1,【R】TUA60-04303-4A1,ﾎﾙﾀﾞｰｱｰﾑ取付板(TUA60)EG-ZN-C付,,,
4,45TUA60045035C0,【R】TUA60-04503-5C0,ｼｬﾌﾄC(TUA60),,,
5,45TUA6004732501,【R】TUA60-04732-501,SPﾘﾝｸ(TUA60),,,
6,45TUA60102025A0,【R】TUA60-10202-5A0,ﾕﾆｯﾄ ﾄﾞｱ補強板(TUA60),,,
7,45TUA60102035B0,【R】TUA60-10203-5B0,蝶番(TUA60)三価ﾕﾆｸﾛ鍍金,,,
8,45TUA60102105A1,【R】TUA60-10210-5A1,蝶番ﾎﾙﾀﾞｰ(TUA60),,,
9,45TUA60111014D0,【R】TUA60-11101-4D0,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA60),,,
10,45TUA60111035B0,【R】TUA60-11103-5B0,ｲﾝﾅｰﾌﾚｰﾑ柱 2(TUA60),,,
11,45TUA60111105B1,【R】TUA60-11110-5B1,ｲﾝﾅｰﾌﾚｰﾑ板 1(TUA60),,,
12,45TUA6011118400S04,【R】TUA60-S4-11118-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA60-S4),,,
13,45TUA6011129500S30,【R】TUA60-S30-11129-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA60-S30),,,
14,45TUA60112025C0,【R】TUA60-11202-5C0,ﾍﾞｰｽﾝ ｶﾞｲﾄﾞﾎﾟｽﾄ(TUA60),,,
15,45TUA60113025A0,【R】TUA60-11302-5A0,動作ｽｲｯﾁ固定板(TUA60),,,
16,45TUA6011311500,【R】TUA60-11311-500,ﾍﾞｰｽﾝﾌｫﾄｲﾝﾀﾗﾌﾟﾀ中継板(TUA60),,,
17,45TUA6012308501,【R】TUA60-12308-501,ｳｫｰﾏﾌﾞﾗｹｯﾄ(TUA60),,,
18,45TUA6012309501,【R】TUA60-12309-501,ｳｫｰﾏｶﾊﾞｰ(TUA60),,,
19,45TUA60141135A0,【R】TUA60-14113-5A0,ﾍﾞｰｽﾝﾍﾞｰｽ 上(TUA60),,,
20,45TUA60141145A0,【R】TUA60-14114-5A0,ﾍﾞｰｽﾝﾍﾞｰｽ 下(TUA60),,,
21,45TUA6014432501,【R】TUA60-14432-501,鉢洗いﾊﾟｲﾌﾟ ﾎﾙﾀﾞｰ(TUA60),,,
22,45TUA60146015A1,【R】TUA60-14601-5A1,ﾍﾞｰｽﾝ回転軸(TUA60),,,
23,45TUA60146085B0,【R】TUA60-14608-5B0,ﾍﾞｰｽﾝ ｼｬﾌﾄﾅｯﾄ(TUA60),,,
24,45TUA60150025C0,【R】TUA60-15002-5C0,PCB ﾎﾙﾀﾞｰ(TUA60),,,
25,45TUA60170064B0,【R】TUA60-17006-4B0,VCﾀﾝｸﾎﾙﾀﾞｰ ASSY(TUA60),,,
